veckonummer,Kommun_stadsdel,tot_antal_fall_per10000inv,antal_fall_per10000_inv,tot_antal_fall,nya_fall_vecka
6,Ale,0,0,0,0
6,Alingsås,0,0,0,0
6,Alvesta,0,0,0,0
6,Aneby,0,0,0,0
6,Arboga,0,0,0,0
6,Arjeplog,0,0,0,0
6,Arvidsjaur,0,0,0,0
6,Arvika,0,0,0,0
6,Askersund,0,0,0,0
6,Avesta,0,0,0,0
6,Bengtsfors,0,0,0,0
6,Berg,0,0,0,0
6,Bjurholm,0,0,0,0
6,Bjuv,0,0,0,0
6,Boden,0,0,0,0
6,Bollebygd,0,0,0,0
6,Bollnäs,0,0,0,0
6,Borgholm,0,0,0,0
6,Borlänge,0,0,0,0
6,Borås,0,0,0,0
6,Botkyrka,0,0,0,0
6,Boxholm,0,0,0,0
6,Bromölla,0,0,0,0
6,Bräcke,0,0,0,0
6,Burlöv,0,0,0,0
6,Båstad,0,0,0,0
6,Dals-Ed,0,0,0,0
6,Danderyd,0,0,0,0
6,Degerfors,0,0,0,0
6,Dorotea,0,0,0,0
6,Eda,0,0,0,0
6,Ekerö,0,0,0,0
6,Eksjö,0,0,0,0
6,Emmaboda,0,0,0,0
6,Enköping,0,0,0,0
6,Eskilstuna,0,0,0,0
6,Eslöv,0,0,0,0
6,Essunga,0,0,0,0
6,Fagersta,0,0,0,0
6,Falkenberg,0,0,0,0
6,Falköping,0,0,0,0
6,Falun,0,0,0,0
6,Filipstad,0,0,0,0
6,Finspång,0,0,0,0
6,Flen,0,0,0,0
6,Forshaga,0,0,0,0
6,Färgelanda,0,0,0,0
6,Gagnef,0,0,0,0
6,Gislaved,0,0,0,0
6,Gnesta,0,0,0,0
6,Gnosjö,0,0,0,0
6,Gotland,0,0,0,0
6,Grums,0,0,0,0
6,Grästorp,0,0,0,0
6,Gullspång,0,0,0,0
6,Gällivare,0,0,0,0
6,Gävle,0,0,0,0
6,Göteborg Lundby,0,0,0,0
6,Göteborg Askim-Frölunda-Högsbo,0,0,0,0
6,Göteborg Östra Göteborg,0,0,0,0
6,Göteborg Majorna-Linné,0,0,0,0
6,Göteborg Örgryte-Härlanda,0,0,0,0
6,Göteborg Centrum,0,0,0,0
6,Göteborg Västra Göteborg,0,0,0,0
6,Gbg Angered,0,0,0,0
6,Göteborg Västra Hisingen,0,0,0,0
6,Göteborg Norra Hisingen,0,0,0,0
6,Götene,0,0,0,0
6,Habo,0,0,0,0
6,Hagfors,0,0,0,0
6,Hallsberg,0,0,0,0
6,Hallstahammar,0,0,0,0
6,Halmstad,0,0,0,0
6,Hammarö,0,0,0,0
6,Haninge,0,0,0,0
6,Haparanda,0,0,0,0
6,Heby,0,0,0,0
6,Hedemora,0,0,0,0
6,Helsingborg,0,0,0,0
6,Herrljunga,0,0,0,0
6,Hjo,0,0,0,0
6,Hofors,0,0,0,0
6,Huddinge,0,0,0,0
6,Hudiksvall,0,0,0,0
6,Hultsfred,0,0,0,0
6,Hylte,0,0,0,0
6,Håbo,0,0,0,0
6,Hällefors,0,0,0,0
6,Härjedalen,0,0,0,0
6,Härnösand,0,0,0,0
6,Härryda,0,0,0,0
6,Hässleholm,0,0,0,0
6,Höganäs,0,0,0,0
6,Högsby,0,0,0,0
6,Hörby,0,0,0,0
6,Höör,0,0,0,0
6,Jokkmokk,0,0,0,0
6,Järfälla,0,0,0,0
6,Jönköping,,,<15,<15
6,Kalix,0,0,0,0
6,Kalmar,0,0,0,0
6,Karlsborg,0,0,0,0
6,Karlshamn,0,0,0,0
6,Karlskoga,0,0,0,0
6,Karlskrona,0,0,0,0
6,Karlstad,0,0,0,0
6,Katrineholm,0,0,0,0
6,Kil,0,0,0,0
6,Kinda,0,0,0,0
6,Kiruna,0,0,0,0
6,Klippan,0,0,0,0
6,Knivsta,0,0,0,0
6,Kramfors,0,0,0,0
6,Kristianstad,0,0,0,0
6,Kristinehamn,0,0,0,0
6,Krokom,0,0,0,0
6,Kumla,0,0,0,0
6,Kungsbacka,0,0,0,0
6,Kungsör,0,0,0,0
6,Kungälv,0,0,0,0
6,Kävlinge,0,0,0,0
6,Köping,0,0,0,0
6,Laholm,0,0,0,0
6,Landskrona,0,0,0,0
6,Laxå,0,0,0,0
6,Lekeberg,0,0,0,0
6,Leksand,0,0,0,0
6,Lerum,0,0,0,0
6,Lessebo,0,0,0,0
6,Lidingö,0,0,0,0
6,Lidköping,0,0,0,0
6,Lilla Edet,0,0,0,0
6,Lindesberg,0,0,0,0
6,Linköping,0,0,0,0
6,Ljungby,0,0,0,0
6,Ljusdal,0,0,0,0
6,Ljusnarsberg,0,0,0,0
6,Lomma,0,0,0,0
6,Ludvika,0,0,0,0
6,Luleå,0,0,0,0
6,Lund,0,0,0,0
6,Lycksele,0,0,0,0
6,Lysekil,0,0,0,0
6,Malmö Rosengård,0,0,0,0
6,Malmö Fosie,0,0,0,0
6,Malmö Limhamn-Bunkeflo,0,0,0,0
6,Malmö Husie,0,0,0,0
6,Malmö Södra Innerstaden,0,0,0,0
6,Malmö kommun Centrum,0,0,0,0
6,Malmö Hyllie,0,0,0,0
6,Malmös kmn Kirseberg,0,0,0,0
6,Malmö Oxie,0,0,0,0
6,Malmö Västra Innerstaden,0,0,0,0
6,Malung,0,0,0,0
6,Malå,0,0,0,0
6,Mariestad,0,0,0,0
6,Mark,0,0,0,0
6,Markaryd,0,0,0,0
6,Mellerud,0,0,0,0
6,Mjölby,0,0,0,0
6,Mora,0,0,0,0
6,Motala,0,0,0,0
6,Mullsjö,0,0,0,0
6,Munkedal,0,0,0,0
6,Munkfors,0,0,0,0
6,Mölndal,0,0,0,0
6,Mönsterås,0,0,0,0
6,Mörbylånga,0,0,0,0
6,Nacka,0,0,0,0
6,Nora,0,0,0,0
6,Norberg,0,0,0,0
6,Nordanstig,0,0,0,0
6,Nordmaling,0,0,0,0
6,Norrköping,0,0,0,0
6,Norrtälje,0,0,0,0
6,Norsjö,0,0,0,0
6,Nybro,0,0,0,0
6,Nykvarn,0,0,0,0
6,Nyköping,0,0,0,0
6,Nynäshamn,0,0,0,0
6,Nässjö,0,0,0,0
6,Ockelbo,0,0,0,0
6,Okänd,,,0,0
6,Olofström,0,0,0,0
6,Orsa,0,0,0,0
6,Orust,0,0,0,0
6,Osby,0,0,0,0
6,Oskarshamn,0,0,0,0
6,Ovanåker,0,0,0,0
6,Oxelösund,0,0,0,0
6,Pajala,0,0,0,0
6,Partille,0,0,0,0
6,Perstorp,0,0,0,0
6,Piteå,0,0,0,0
6,Ragunda,0,0,0,0
6,Robertsfors,0,0,0,0
6,Ronneby,0,0,0,0
6,Rättvik,0,0,0,0
6,Sala,0,0,0,0
6,Salem,0,0,0,0
6,Sandviken,0,0,0,0
6,Sigtuna,0,0,0,0
6,Simrishamn,0,0,0,0
6,Sjöbo,0,0,0,0
6,Skara,0,0,0,0
6,Skellefteå,0,0,0,0
6,Skinnskatteberg,0,0,0,0
6,Skurup,0,0,0,0
6,Skövde,0,0,0,0
6,Smedjebacken,0,0,0,0
6,Sollefteå,0,0,0,0
6,Sollentuna,0,0,0,0
6,Solna,0,0,0,0
6,Sorsele,0,0,0,0
6,Sotenäs,0,0,0,0
6,Staffanstorp,0,0,0,0
6,Stenungsund,0,0,0,0
6,Stockholm Östermalm,0,0,0,0
6,Stockholm Norrmalm,0,0,0,0
6,Skhlm Spånga-Tensta,0,0,0,0
6,Stockholm Hägersten-Liljeholmen,0,0,0,0
6,Stockholm kommun Skärholmen,0,0,0,0
6,Stockholm - Kungsholmen,0,0,0,0
6,Stockholm Älvsjö,0,0,0,0
6,Stockholm Skarpnäck,0,0,0,0
6,Stockholms kommun Enskede-Årsta-Vantör,0,0,0,0
6,Stockholm Bromma,0,0,0,0
6,Stockholm Södermalm,0,0,0,0
6,Stockholm Rinkeby-Kista,0,0,0,0
6,Stockholm Hässelby-Vällingby,0,0,0,0
6,Stockholm Farsta,0,0,0,0
6,Storfors,0,0,0,0
6,Storuman,0,0,0,0
6,Strängnäs,0,0,0,0
6,Strömstad,0,0,0,0
6,Strömsund,0,0,0,0
6,Sundbyberg,0,0,0,0
6,Sundsvall,0,0,0,0
6,Sunne,0,0,0,0
6,Surahammar,0,0,0,0
6,Svalöv,0,0,0,0
6,Svedala,0,0,0,0
6,Svenljunga,0,0,0,0
6,Säffle,0,0,0,0
6,Säter,0,0,0,0
6,Sävsjö,0,0,0,0
6,Söderhamn,0,0,0,0
6,Söderköping,0,0,0,0
6,Södertälje,0,0,0,0
6,Sölvesborg,0,0,0,0
6,Tanum,0,0,0,0
6,Tibro,0,0,0,0
6,Tidaholm,0,0,0,0
6,Tierp,0,0,0,0
6,Timrå,0,0,0,0
6,Tingsryd,0,0,0,0
6,Tjörn,0,0,0,0
6,Tomelilla,0,0,0,0
6,Torsby,0,0,0,0
6,Torsås,0,0,0,0
6,Tranemo,0,0,0,0
6,Tranås,0,0,0,0
6,Trelleborg,0,0,0,0
6,Trollhättan,0,0,0,0
6,Trosa,0,0,0,0
6,Tyresö,0,0,0,0
6,Täby,0,0,0,0
6,Töreboda,0,0,0,0
6,Uddevalla,0,0,0,0
6,Ulricehamn,0,0,0,0
6,Umeå,0,0,0,0
6,Upplands Väsby,0,0,0,0
6,Upplands-Bro,0,0,0,0
6,Uppsala,0,0,0,0
6,Uppvidinge,0,0,0,0
6,Vadstena,0,0,0,0
6,Vaggeryd,0,0,0,0
6,Valdemarsvik,0,0,0,0
6,Vallentuna,0,0,0,0
6,Vansbro,0,0,0,0
6,Vara,0,0,0,0
6,Varberg,0,0,0,0
6,Vaxholm,0,0,0,0
6,Vellinge,0,0,0,0
6,Vetlanda,0,0,0,0
6,Vilhelmina,0,0,0,0
6,Vimmerby,0,0,0,0
6,Vindeln,0,0,0,0
6,Vingåker,0,0,0,0
6,Vårgårda,0,0,0,0
6,Vänersborg,0,0,0,0
6,Vännäs,0,0,0,0
6,Värmdö,0,0,0,0
6,Värnamo,0,0,0,0
6,Västervik,0,0,0,0
6,Västerås,0,0,0,0
6,Växjö,0,0,0,0
6,Ydre,0,0,0,0
6,Ystad,0,0,0,0
6,Åmål,0,0,0,0
6,Ånge,0,0,0,0
6,Åre,0,0,0,0
6,Årjäng,0,0,0,0
6,Åsele,0,0,0,0
6,Åstorp,0,0,0,0
6,Åtvidaberg,0,0,0,0
6,Älmhult,0,0,0,0
6,Älvdalen,0,0,0,0
6,Älvkarleby,0,0,0,0
6,Älvsbyn,0,0,0,0
6,Ängelholm,0,0,0,0
6,Öckerö,0,0,0,0
6,Ödeshög,0,0,0,0
6,Örebro,0,0,0,0
6,Örkelljunga,0,0,0,0
6,Örnsköldsvik,0,0,0,0
6,Östersund,0,0,0,0
6,Österåker,0,0,0,0
6,Östhammar,0,0,0,0
6,Östra Göinge,0,0,0,0
6,Överkalix,0,0,0,0
6,Övertorneå,0,0,0,0
7,Ale,0,0,0,0
7,Alingsås,0,0,0,0
7,Alvesta,0,0,0,0
7,Aneby,0,0,0,0
7,Arboga,0,0,0,0
7,Arjeplog,0,0,0,0
7,Arvidsjaur,0,0,0,0
7,Arvika,0,0,0,0
7,Askersund,0,0,0,0
7,Avesta,0,0,0,0
7,Bengtsfors,0,0,0,0
7,Berg,0,0,0,0
7,Bjurholm,0,0,0,0
7,Bjuv,0,0,0,0
7,Boden,0,0,0,0
7,Bollebygd,0,0,0,0
7,Bollnäs,0,0,0,0
7,Borgholm,0,0,0,0
7,Borlänge,0,0,0,0
7,Borås,0,0,0,0
7,Botkyrka,0,0,0,0
7,Boxholm,0,0,0,0
7,Bromölla,0,0,0,0
7,Bräcke,0,0,0,0
7,Burlöv,0,0,0,0
7,Båstad,0,0,0,0
7,Dals-Ed,0,0,0,0
7,Danderyd,0,0,0,0
7,Degerfors,0,0,0,0
7,Dorotea,0,0,0,0
7,Eda,0,0,0,0
7,Ekerö,0,0,0,0
7,Eksjö,0,0,0,0
7,Emmaboda,0,0,0,0
7,Enköping,0,0,0,0
7,Eskilstuna,0,0,0,0
7,Eslöv,0,0,0,0
7,Essunga,0,0,0,0
7,Fagersta,0,0,0,0
7,Falkenberg,0,0,0,0
7,Falköping,0,0,0,0
7,Falun,0,0,0,0
7,Filipstad,0,0,0,0
7,Finspång,0,0,0,0
7,Flen,0,0,0,0
7,Forshaga,0,0,0,0
7,Färgelanda,0,0,0,0
7,Gagnef,0,0,0,0
7,Gislaved,0,0,0,0
7,Gnesta,0,0,0,0
7,Gnosjö,0,0,0,0
7,Gotland,0,0,0,0
7,Grums,0,0,0,0
7,Grästorp,0,0,0,0
7,Gullspång,0,0,0,0
7,Gällivare,0,0,0,0
7,Gävle,0,0,0,0
7,Göteborg Askim-Frölunda-Högsbo,0,0,0,0
7,Göteborg Centrum,0,0,0,0
7,Göteborg Västra Hisingen,0,0,0,0
7,Göteborg Östra Göteborg,0,0,0,0
7,Gbg Angered,0,0,0,0
7,Göteborg Norra Hisingen,0,0,0,0
7,Göteborg Majorna-Linné,0,0,0,0
7,Göteborg Lundby,0,0,0,0
7,Göteborg Västra Göteborg,0,0,0,0
7,Göteborg Örgryte-Härlanda,0,0,0,0
7,Götene,0,0,0,0
7,Habo,0,0,0,0
7,Hagfors,0,0,0,0
7,Hallsberg,0,0,0,0
7,Hallstahammar,0,0,0,0
7,Halmstad,0,0,0,0
7,Hammarö,0,0,0,0
